127.0.0.1 - - [08/Jun/2021:19:11:34 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:11:36 +0530] "GET /Project03/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:11:38 +0530] "GET /Project03/WelcomeCtl HTTP/1.1" 200 5700
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:11:38 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:11:38 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:11:42 +0530] "GET /Project03/LoginCtl HTTP/1.1" 200 8286
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:11:42 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:11:50 +0530] "POST /Project03/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:11:50 +0530] "GET /Project03/WelcomeCtl HTTP/1.1" 200 12674
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:11:50 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:11:50 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:11:54 +0530] "GET /Project03/ctl/FacultyListCtl HTTP/1.1" 200 25097
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:11:54 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:11:54 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:18 +0530] "GET /Project03/ctl/FacultyListCtl HTTP/1.1" 503 1030
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:19 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:24 +0530] "GET /Project03/ctl/FacultyListCtl HTTP/1.1" 200 25097
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:24 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:28 +0530] "POST /Project03/ctl/FacultyListCtl HTTP/1.1" 200 21398
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:28 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:35 +0530] "POST /Project03/ctl/FacultyListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:35 +0530] "GET /Project03/ctl/FacultyListCtl HTTP/1.1" 200 25097
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:35 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:39 +0530] "POST /Project03/ctl/FacultyListCtl HTTP/1.1" 200 18469
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:39 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:47 +0530] "GET /Project03/ctl/SubjectListCtl HTTP/1.1" 200 23440
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:47 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:50 +0530] "POST /Project03/ctl/SubjectListCtl HTTP/1.1" 200 18807
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:50 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:53 +0530] "POST /Project03/ctl/SubjectListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:53 +0530] "GET /Project03/ctl/SubjectListCtl HTTP/1.1" 200 23440
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:53 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:56 +0530] "POST /Project03/ctl/SubjectListCtl HTTP/1.1" 200 17473
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:56 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:57 +0530] "POST /Project03/ctl/SubjectListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:57 +0530] "GET /Project03/ctl/SubjectListCtl HTTP/1.1" 200 23440
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:13:57 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:00 +0530] "GET /Project03/ctl/TimeTableListCtl HTTP/1.1" 200 26560
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:00 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:04 +0530] "POST /Project03/ctl/TimeTableListCtl HTTP/1.1" 200 18927
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:04 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:06 +0530] "POST /Project03/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:06 +0530] "GET /Project03/ctl/TimeTableListCtl HTTP/1.1" 200 26560
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:06 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:10 +0530] "POST /Project03/ctl/TimeTableListCtl HTTP/1.1" 200 18934
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:10 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:11 +0530] "POST /Project03/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:11 +0530] "GET /Project03/ctl/TimeTableListCtl HTTP/1.1" 200 26560
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:11 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:14 +0530] "GET /Project03/ctl/StudentListCtl HTTP/1.1" 200 26741
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:14 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:19 +0530] "POST /Project03/ctl/StudentListCtl HTTP/1.1" 200 15243
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:19 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:21 +0530] "POST /Project03/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:21 +0530] "GET /Project03/ctl/StudentListCtl HTTP/1.1" 200 26741
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:21 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:24 +0530] "POST /Project03/ctl/StudentListCtl HTTP/1.1" 200 20254
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:14:25 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
